height,weight,rank
144,56,5th
165,78,2nd
170,95,3rd
155,57,4th
189,69,2nd
187,87,1st
181,94,2nd
195,96,2nd
190,70,2nd
202,87,1st
161,89,3rd
164,95,4th
177,88,2nd
161,52,1st
192,102,2nd
204,74,4th
162,57,1st
164,52,2nd
199,73,3rd
146,74,4th
175,76,1st
201,96,1st
193,54,4th
163,76,2nd
155,109,4th
148,53,4th
147,79,4th
187,58,3rd
183,57,3rd
197,103,2nd
163,69,2nd
162,106,4th
163,83,3rd
159,72,2nd
205,85,4th
194,103,2nd
149,70,4th
199,106,2nd
197,49,4th
198,49,4th
148,87,4th
174,78,2nd
160,58,1st
202,94,1st
165,84,3rd
163,50,2nd
195,93,1st
151,72,4th
197,108,2nd
142,66,5th
203,58,4th
166,98,4th
148,105,4th
138,99,6th
201,82,1st
175,68,1st
202,49,4th
200,109,2nd
184,72,1st
152,86,4th
135,106,6th
193,59,4th
172,60,1st
153,80,4th
148,74,4th
183,67,1st
175,54,3rd
192,74,1st
152,95,4th
195,45,4th
143,54,5th
154,78,4th
196,103,2nd
155,88,4th
159,103,4th
166,56,1st
141,72,5th
158,99,4th
146,80,4th
201,74,3rd
204,49,4th
198,83,1st
206,57,4th
171,50,3rd
200,70,3rd
166,71,2nd
163,78,2nd
156,107,4th
202,101,1st
165,89,3rd
147,51,4th
138,69,6th
139,65,6th
190,90,1st
141,106,5th
177,50,4th
192,73,2nd
186,67,2nd
152,51,4th
171,103,4th
187,69,2nd
180,91,2nd
197,95,1st
140,49,6th
140,71,6th
154,45,4th
180,68,1st
156,76,4th
168,68,1st
188,75,1st
200,80,1st
205,95,4th
182,75,1st
202,108,2nd
205,62,4th
147,99,4th
195,62,3rd
169,109,4th
172,63,1st
206,69,4th
197,79,1st
155,93,4th
136,77,6th
167,50,3rd
171,53,3rd
206,65,4th
192,78,1st
152,56,4th
147,60,4th
168,92,3rd
154,105,4th
178,71,1st
155,107,4th
143,107,5th
196,85,1st
177,70,1st
145,103,5th
184,80,1st
183,79,1st
152,47,4th
142,65,5th
168,80,2nd
141,80,5th
198,48,4th
197,60,4th
182,62,2nd
195,64,3rd
138,99,6th
143,53,5th
151,92,4th
156,59,4th
142,101,5th
166,57,1st
189,77,1st
176,69,1st
140,81,6th
156,94,4th
205,69,4th
176,71,1st
167,108,4th
176,59,2nd
193,88,1st
136,105,6th
153,48,4th
160,93,4th
165,99,4th
173,63,1st
165,46,3rd
170,102,4th
181,100,3rd
199,85,1st
197,55,4th
189,86,1st
199,90,1st
205,67,4th
172,53,3rd
156,97,4th
184,103,3rd
141,102,5th
176,72,1st
179,85,2nd
196,82,1st
187,85,1st
206,74,4th
167,76,2nd
178,63,2nd
184,78,1st
179,76,1st
175,86,2nd
165,64,1st
138,71,6th
142,70,5th
147,51,4th
148,104,4th
199,103,2nd
149,97,4th
147,55,4th
136,108,6th
191,48,4th
193,89,1st
191,69,2nd
173,45,4th
166,62,1st
146,64,4th
194,93,1st
196,53,4th
168,88,3rd
156,92,4th
200,94,1st
190,106,2nd
196,56,4th
164,93,3rd
193,88,1st
203,58,4th
196,76,2nd
204,70,4th
173,86,2nd
140,84,6th
153,71,4th
183,55,3rd
203,88,1st
180,84,2nd
191,73,1st
205,105,4th
162,86,3rd
182,66,2nd
183,94,2nd
192,55,4th
157,46,4th
178,57,3rd
159,46,3rd
152,60,4th
144,67,5th
195,97,2nd
190,56,4th
142,98,5th
192,55,4th
162,92,4th
174,46,4th
186,48,4th
135,59,6th
184,48,4th
204,97,4th
138,49,6th
173,94,3rd
196,101,2nd
160,47,3rd
143,56,5th
179,71,1st
152,82,4th
137,89,6th
147,46,4th
171,89,3rd
197,66,3rd
184,54,4th
171,91,3rd
150,110,4th
196,77,1st
180,110,3rd
156,86,4th
188,109,3rd
173,89,2nd
151,80,4th
172,72,1st
151,96,4th
197,100,2nd
173,46,4th
147,79,4th
157,107,4th
174,110,4th
175,105,3rd
161,99,4th
155,106,4th
160,89,3rd
174,107,4th
141,88,5th
166,68,1st
163,62,1st
193,46,4th
148,74,4th
160,65,2nd
162,50,2nd
201,79,2nd
140,94,6th
191,62,3rd
177,73,1st
199,70,3rd
172,75,2nd
171,96,3rd
135,50,6th
172,58,2nd
169,75,2nd
162,60,1st
202,73,3rd
138,76,6th
155,91,4th
141,82,5th
186,74,1st
142,80,5th
186,104,3rd
160,77,3rd
171,82,2nd
159,85,3rd
180,97,2nd
201,81,1st
194,107,2nd
184,59,3rd
141,96,5th
189,93,2nd
201,87,1st
204,69,4th
164,65,1st
194,59,4th
201,99,1st
174,110,4th
150,50,4th
159,59,1st
156,64,4th
173,58,2nd
194,63,3rd
206,94,4th
160,69,2nd
173,70,1st
191,64,3rd
181,54,3rd
166,98,4th
143,108,5th
167,57,1st
140,100,6th
195,106,2nd
163,46,3rd
186,45,4th
152,94,4th
147,90,4th
150,49,4th
173,91,3rd
171,98,3rd
172,55,2nd
174,49,3rd
151,59,4th
152,65,4th
193,93,1st
179,54,3rd
177,72,1st
138,68,6th
179,75,1st
172,52,3rd
166,106,4th
180,70,1st
145,62,5th
167,104,4th
161,74,2nd
139,82,6th
168,52,3rd
136,70,6th
149,57,4th
205,67,4th
150,107,4th
172,99,3rd
193,53,4th
172,81,2nd
177,102,3rd
190,87,1st
156,63,4th
160,100,4th
176,53,3rd
160,47,3rd
138,98,6th
185,106,3rd
173,66,1st
141,85,5th
177,47,4th
173,54,3rd
173,81,2nd
142,57,5th
144,57,5th
154,102,4th
202,96,1st
182,92,2nd
187,99,2nd
190,94,2nd
144,87,5th
162,82,3rd
180,104,3rd
167,93,3rd
194,73,2nd
196,55,4th
142,50,5th
181,50,4th
196,102,2nd
166,86,3rd
156,110,4th
138,69,6th
147,89,4th
170,100,3rd
140,63,6th
170,51,3rd
171,100,3rd
187,72,1st
184,94,2nd
152,75,4th
158,93,4th
154,60,4th
137,76,6th
140,92,6th
177,80,2nd
160,48,2nd
202,54,4th
169,64,1st
195,74,2nd
152,49,4th
140,103,6th
173,76,2nd
191,51,4th
150,89,4th
167,54,2nd
173,98,3rd
178,100,3rd
136,63,6th
168,101,4th
140,90,6th
149,72,4th
177,61,2nd
147,68,4th
155,109,4th
137,72,6th
175,56,3rd
195,59,4th
205,91,4th
192,58,4th
136,105,6th
180,48,4th
140,51,6th
184,101,2nd
147,47,4th
163,102,4th
159,71,2nd
201,80,2nd
177,81,2nd
154,98,4th
137,87,6th
157,59,4th
199,98,1st
171,66,1st
141,82,5th
171,70,1st
170,49,3rd
151,108,4th
171,86,2nd
180,100,3rd
185,46,4th
173,101,3rd
139,109,6th
139,96,6th
201,110,2nd
146,51,4th
164,103,4th
198,56,4th
145,45,5th
162,72,2nd
204,62,4th
156,95,4th
160,70,2nd
147,49,4th
175,73,1st
168,77,2nd
135,97,6th
166,98,4th
173,93,3rd
182,105,3rd
136,62,6th
153,47,4th
149,60,4th
152,64,4th
163,71,2nd
153,65,4th
163,106,4th
190,78,1st
153,102,4th
186,66,2nd
145,89,5th
193,70,2nd
166,51,2nd
136,55,6th
167,58,1st
144,45,5th
193,101,2nd
206,52,4th
197,80,1st
162,81,3rd
169,45,4th
158,78,4th
184,54,4th
185,106,3rd
144,66,5th
179,71,1st
171,48,3rd
159,94,4th
200,92,1st
199,85,1st
135,83,6th
189,69,2nd
185,58,3rd
193,73,2nd
165,77,2nd
144,81,5th
147,71,4th
144,50,5th
172,92,3rd
170,110,4th
169,102,4th
180,73,1st
202,100,1st
162,79,3rd
164,59,1st
187,100,2nd
141,67,5th
196,94,1st
193,82,1st
191,84,1st
143,80,5th
176,85,2nd
139,84,6th
193,65,3rd
175,94,3rd
172,80,2nd
196,94,1st
167,78,2nd
181,80,1st
138,70,6th
185,105,3rd
158,67,4th
186,107,3rd
164,99,4th
168,71,2nd
189,69,2nd
176,83,2nd
173,76,2nd
135,80,6th
194,60,4th
165,87,3rd
137,79,6th
144,93,5th
176,94,3rd
204,57,4th
162,106,4th
191,105,2nd
181,64,2nd
149,93,4th
162,97,4th
155,85,4th
198,54,4th
150,78,4th
197,103,2nd
149,99,4th
175,61,2nd
153,81,4th
199,51,4th
190,80,1st
141,100,5th
162,60,1st
181,62,2nd
191,72,2nd
152,71,4th
153,70,4th
170,109,4th
200,69,3rd
174,46,4th
157,47,4th
180,53,3rd
138,110,6th
145,95,5th
180,90,2nd
161,86,3rd
169,109,4th
153,78,4th
188,78,1st
182,73,1st
149,53,4th
202,97,1st
138,104,6th
148,96,4th
162,73,2nd
144,46,5th
150,105,4th
138,83,6th
199,72,3rd
150,60,4th
144,56,5th
183,70,1st
152,70,4th
188,71,1st
154,75,4th
174,99,3rd
137,89,6th
189,90,2nd
135,66,6th
170,95,3rd
186,95,2nd
155,65,4th
175,95,3rd
192,71,2nd
157,91,4th
139,94,6th
144,77,5th
135,81,6th
201,75,2nd
199,59,4th
136,84,6th
197,46,4th
150,104,4th
186,67,2nd
194,52,4th
181,91,2nd
194,104,2nd
145,109,5th
189,55,4th
142,85,5th
192,53,4th
157,70,4th
184,78,1st
162,109,4th
168,74,2nd
206,51,4th
169,67,1st
180,66,1st
139,56,6th
169,102,4th
202,60,4th
147,93,4th
158,78,4th
186,90,2nd
198,100,2nd
197,62,4th
157,103,4th
193,96,2nd
184,71,1st
165,51,2nd
197,76,2nd
140,87,6th
167,106,4th
149,103,4th
184,90,2nd
167,89,3rd
170,50,3rd
190,85,1st
146,65,4th
196,82,1st
193,51,4th
165,45,3rd
194,83,1st
195,107,2nd
139,78,6th
175,49,3rd
139,58,6th
187,105,3rd
192,54,4th
203,50,4th
172,52,3rd
148,82,4th
181,85,2nd
182,76,1st
180,99,3rd
160,106,4th
162,102,4th
140,89,6th
146,107,4th
183,97,2nd
156,82,4th
150,58,4th
193,73,2nd
205,104,4th
197,85,1st
188,82,1st
146,95,4th
154,71,4th
181,55,3rd
156,50,4th
181,64,2nd
182,89,2nd
143,55,5th
173,50,3rd
203,63,4th
186,95,2nd
180,59,3rd
179,54,3rd
156,102,4th
204,96,4th
162,83,3rd
170,101,3rd
192,72,2nd
159,110,4th
186,50,4th
170,109,4th
135,82,6th
204,89,4th
199,59,4th
157,45,4th
186,48,4th
164,61,1st
152,46,4th
195,70,3rd
172,65,1st
201,79,2nd
191,104,2nd
185,56,3rd
141,55,5th
139,72,6th
136,59,6th
136,96,6th
170,71,1st
171,53,3rd
164,80,2nd
192,81,1st
168,58,1st
188,58,3rd
168,60,1st
186,72,1st
162,90,3rd
141,77,5th
169,73,2nd
198,77,2nd
179,62,2nd
188,98,2nd
149,63,4th
167,93,3rd
182,108,3rd
166,101,4th
179,65,1st
136,96,6th
206,106,4th
184,87,2nd
136,60,6th
172,61,1st
174,95,3rd
159,64,2nd
136,62,6th
206,61,4th
179,45,4th
144,95,5th
175,48,4th
167,100,4th
148,54,4th
141,48,5th
148,79,4th
190,67,2nd
170,84,2nd
205,84,4th
173,94,3rd
193,86,1st
186,93,2nd
198,87,1st
141,56,5th
205,83,4th
137,103,6th
151,67,4th
183,87,2nd
185,76,1st
176,92,2nd
179,104,3rd
192,63,3rd
184,52,4th
175,85,2nd
206,105,4th
159,101,4th
191,100,2nd
167,49,3rd
136,105,6th
203,65,4th
169,56,2nd
199,100,2nd
159,107,4th
181,94,2nd
187,86,1st
187,80,1st
199,78,2nd
195,103,2nd
177,58,2nd
173,62,1st
165,64,1st
151,104,4th
184,76,1st
137,55,6th
177,95,3rd
169,97,3rd
152,52,4th
140,53,6th
181,106,3rd
177,89,2nd
138,57,6th
165,109,4th
181,108,3rd
166,86,3rd
156,50,4th
206,95,4th
158,66,4th
143,75,5th
183,88,2nd
136,104,6th
170,83,2nd
136,108,6th
191,109,2nd
204,98,4th
135,106,6th
140,58,6th
157,67,4th
201,75,2nd
174,92,3rd
204,105,4th
178,59,2nd
191,106,2nd
179,68,1st
187,109,3rd
143,83,5th
136,54,6th
151,95,4th
147,108,4th
179,53,3rd
162,60,1st
200,72,3rd
136,102,6th
177,95,3rd
199,79,2nd
152,51,4th
150,61,4th
185,104,3rd
164,71,2nd
144,69,5th
181,60,3rd
171,54,3rd
164,73,2nd
141,109,5th
199,49,4th
200,75,2nd
183,71,1st
150,87,4th
152,74,4th
141,52,5th
182,77,1st
187,82,1st
166,94,3rd
147,102,4th
164,84,3rd
151,52,4th
186,46,4th
137,101,6th
137,86,6th
137,103,6th
144,101,5th
139,98,6th
150,82,4th
191,106,2nd
159,99,4th
162,102,4th
136,49,6th
197,71,3rd
177,90,2nd
162,104,4th
167,85,3rd
172,76,2nd
203,65,4th
160,61,1st
182,75,1st
188,72,1st
150,73,4th
191,47,4th
158,70,4th
167,103,4th
183,65,2nd
142,48,5th
138,89,6th
143,55,5th
168,80,2nd
153,94,4th
151,91,4th
177,72,1st
188,56,4th
149,99,4th
145,78,5th
135,56,6th
154,62,4th
179,91,2nd
180,96,2nd
149,64,4th
186,60,3rd
136,71,6th
171,79,2nd
143,77,5th
151,99,4th
203,100,1st
140,101,6th
171,52,3rd
190,65,3rd
194,61,3rd
145,96,5th
182,57,3rd
200,82,1st
206,90,4th
164,78,2nd
190,47,4th
144,61,5th
147,45,4th
175,62,1st
163,50,2nd
135,46,6th
188,87,1st
138,53,6th
185,49,4th
178,76,1st
161,79,3rd
204,72,4th
190,65,3rd
135,84,6th
205,73,4th
158,83,4th
148,49,4th
167,62,1st
177,76,1st
191,89,1st
136,91,6th
201,63,4th
157,104,4th
169,89,3rd
140,67,6th
184,46,4th
203,82,2nd
152,76,4th
172,92,3rd
147,82,4th
146,59,4th
155,89,4th
154,91,4th
168,104,4th
154,73,4th
179,89,2nd
151,50,4th
168,77,2nd
187,70,1st
149,76,4th
190,57,4th
181,65,2nd
169,49,3rd
160,68,2nd
170,109,4th
144,49,5th
173,75,2nd
169,48,3rd
161,100,4th
168,109,4th
168,76,2nd
170,90,3rd
144,94,5th
187,96,2nd
138,96,6th
155,101,4th
160,107,4th
136,100,6th
145,67,5th
194,74,2nd
181,85,2nd
162,81,3rd
161,80,3rd
161,50,2nd
142,84,5th
171,106,4th
196,63,3rd
167,64,1st
141,102,5th
156,64,4th
135,110,6th
177,47,4th
190,64,3rd
189,69,2nd
157,84,4th
151,45,4th
182,63,2nd
172,84,2nd
198,53,4th
157,103,4th
137,85,6th
177,101,3rd
186,89,2nd
189,60,3rd
174,72,1st
158,105,4th
177,97,3rd
202,106,2nd
181,106,3rd
190,45,4th
151,107,4th
157,45,4th
205,68,4th
160,97,4th
141,47,5th
195,96,2nd
152,67,4th
165,47,3rd
160,86,3rd
163,98,4th
191,62,3rd
174,82,2nd
142,100,5th
183,55,3rd
164,100,4th
150,102,4th
165,78,2nd
159,93,4th
140,86,6th
192,48,4th
135,59,6th
176,74,1st
160,90,4th
180,75,1st
147,74,4th
203,73,3rd
181,92,2nd
156,60,4th
153,67,4th
202,88,1st
170,86,2nd
140,72,6th
174,108,4th
184,63,2nd
149,88,4th
172,109,4th
147,86,4th
142,102,5th
166,76,2nd
204,53,4th
154,59,4th
158,105,4th
141,107,5th
156,85,4th
159,109,4th
157,57,4th
202,66,3rd
155,108,4th
145,84,5th
173,90,3rd
149,93,4th
195,77,1st
171,92,3rd
165,89,3rd
168,73,2nd
166,70,2nd
156,62,4th
178,88,2nd
148,100,4th
148,76,4th
141,58,5th
197,87,1st
203,94,1st
155,108,4th
156,87,4th
168,93,3rd
167,50,3rd
153,65,4th
165,80,2nd
186,72,1st
156,67,4th
155,83,4th
137,51,6th
161,86,3rd
164,46,3rd
202,67,3rd
154,78,4th
151,80,4th
200,76,2nd
145,100,5th
201,50,4th
187,83,1st
152,57,4th
175,65,1st
146,61,4th
160,93,4th
136,98,6th
172,47,4th
157,68,4th
141,50,5th
163,110,4th
153,66,4th
188,74,1st
179,91,2nd
185,66,2nd
167,108,4th
203,97,1st
166,79,2nd
165,105,4th
196,80,1st
191,107,2nd
166,105,4th
166,62,1st
190,64,3rd
192,103,2nd
155,58,4th
194,63,3rd
154,61,4th
137,58,6th
150,47,4th
148,90,4th
145,74,5th
171,94,3rd
137,64,6th
168,55,2nd
190,72,2nd
161,46,3rd
192,77,1st
198,67,3rd
196,51,4th
152,58,4th
152,47,4th
189,108,3rd
198,102,2nd
183,103,3rd
206,88,4th
169,73,2nd
162,103,4th
146,59,4th
151,110,4th
187,54,4th
161,64,1st
166,90,3rd
184,92,2nd
170,68,1st
136,61,6th
147,65,4th
149,50,4th
177,53,3rd
185,86,2nd
199,73,3rd
135,80,6th
144,63,5th
138,68,6th
142,88,5th
191,103,2nd
155,62,4th
204,100,4th
137,58,6th
185,73,1st
141,71,5th
163,74,2nd
170,106,4th
156,54,4th
165,74,2nd
189,81,1st
186,46,4th
180,69,1st
176,47,4th
177,71,1st
194,74,2nd
170,57,2nd
183,50,4th
162,50,2nd
148,45,4th
192,98,2nd
163,68,2nd
187,79,1st
183,61,3rd
173,83,2nd
149,50,4th
189,48,4th
176,107,3rd
176,62,1st
194,102,2nd
137,71,6th
190,57,4th
155,85,4th
182,88,2nd
197,51,4th
156,110,4th
194,94,1st
199,105,2nd
175,50,3rd
141,48,5th
181,74,1st
205,108,4th
189,53,4th
191,96,2nd
199,98,1st
186,97,2nd
172,88,2nd
159,69,2nd
168,103,4th
141,82,5th
168,75,2nd
181,110,3rd
137,94,6th
181,54,3rd
166,60,1st
176,66,1st
179,68,1st
164,48,3rd
206,86,4th
172,82,2nd
205,69,4th
143,87,5th
137,80,6th
148,93,4th
181,54,3rd
199,47,4th
190,55,4th
146,110,4th
174,66,1st
190,53,4th
201,99,1st
176,106,3rd
169,60,1st
190,64,3rd
203,81,2nd
196,110,2nd
206,96,4th
186,108,3rd
190,70,2nd
188,63,3rd
138,103,6th
152,69,4th
157,110,4th
149,59,4th
197,102,2nd
188,95,2nd
173,85,2nd
198,101,2nd
173,98,3rd
194,66,3rd
151,94,4th
144,53,5th
204,89,4th
145,53,5th
205,84,4th
135,110,6th
177,46,4th
143,75,5th
159,106,4th
200,100,2nd
142,76,5th
139,99,6th
172,82,2nd
167,58,1st
157,95,4th
203,95,1st
202,84,1st
135,60,6th
193,85,1st
190,45,4th
198,98,1st
141,90,5th
171,109,4th
190,78,1st
189,88,1st
156,67,4th
174,89,2nd
157,76,4th
183,99,2nd
174,96,3rd
196,70,3rd
158,96,4th
139,85,6th
188,53,4th
188,98,2nd
143,45,5th
136,96,6th
178,51,3rd
187,104,2nd
196,65,3rd
177,63,1st
200,64,3rd
161,84,3rd
191,57,4th
166,85,3rd
147,84,4th
174,45,4th
162,81,3rd
138,100,6th
167,94,3rd
165,80,2nd
201,68,3rd
169,45,4th
206,79,4th
191,103,2nd
182,51,4th
142,109,5th
137,90,6th
148,63,4th
169,77,2nd
190,74,1st
146,106,4th
192,95,2nd
175,100,3rd
164,57,1st
171,95,3rd
147,101,4th
139,59,6th
155,46,4th
172,50,3rd
170,52,3rd
145,100,5th
160,54,1st
152,49,4th
199,92,1st
175,46,4th
186,100,2nd
141,98,5th
189,50,4th
156,65,4th
163,53,2nd
154,100,4th
145,80,5th
204,83,4th
137,105,6th
178,102,3rd
165,73,2nd
173,55,3rd
180,45,4th
193,56,4th
135,56,6th
201,105,2nd
166,95,3rd
137,96,6th
170,60,1st
139,108,6th
135,98,6th
164,80,2nd
159,52,1st
201,91,1st
190,107,2nd
135,87,6th
160,47,3rd
176,107,3rd
168,90,3rd
183,51,4th
169,60,1st
167,54,2nd
194,45,4th
197,65,3rd
189,91,2nd
166,106,4th
143,69,5th
162,86,3rd
176,67,1st
179,79,1st
175,100,3rd
202,63,4th
181,87,2nd
135,76,6th
178,71,1st
156,102,4th
175,71,1st
149,72,4th
154,83,4th
144,56,5th
135,85,6th
138,48,6th
184,50,4th
148,108,4th
179,107,3rd
169,51,3rd
202,52,4th
167,79,2nd
204,101,4th
202,62,4th
141,48,5th
199,81,1st
204,73,4th
189,51,4th
184,59,3rd
174,86,2nd
177,52,3rd
148,66,4th
177,90,2nd
157,81,4th
167,86,3rd
161,85,3rd
184,105,3rd
154,59,4th
185,96,2nd
168,48,3rd
154,71,4th
136,108,6th
201,48,4th
199,102,2nd
197,104,2nd
199,55,4th
136,53,6th
139,46,6th
183,87,2nd
165,104,4th
163,67,2nd
206,62,4th
200,82,1st
155,74,4th
175,66,1st
201,109,2nd
154,55,4th
154,57,4th
188,57,3rd
188,62,3rd
196,73,2nd
198,88,1st
148,99,4th
197,45,4th
191,54,4th
205,107,4th
202,101,1st
138,61,6th
140,106,6th
152,45,4th
166,109,4th
201,93,1st
135,98,6th
187,82,1st
140,73,6th
138,91,6th
150,101,4th
140,49,6th
177,45,4th
193,105,2nd
164,90,3rd
182,106,3rd
168,46,3rd
139,49,6th
159,49,2nd
161,54,1st
206,106,4th
156,59,4th
144,53,5th
143,52,5th
205,51,4th
148,103,4th
177,89,2nd
184,59,3rd
149,62,4th
203,110,2nd
166,69,2nd
175,67,1st
160,101,4th
172,70,1st
206,92,4th
140,75,6th
153,88,4th
163,61,1st
162,47,3rd
199,52,4th
183,64,2nd
164,82,3rd
194,107,2nd
152,51,4th
167,45,3rd
203,52,4th
183,94,2nd
137,95,6th
166,102,4th
169,97,3rd
153,61,4th
169,77,2nd
199,63,4th
142,65,5th
139,69,6th
165,81,2nd
147,91,4th
138,56,6th
173,50,3rd
205,96,4th
183,45,4th
177,90,2nd
139,95,6th
161,95,4th
138,72,6th
160,71,2nd
206,52,4th
173,66,1st
178,91,2nd
178,63,2nd
160,98,4th
141,58,5th
141,51,5th
152,87,4th
185,56,3rd
144,70,5th
167,71,2nd
154,63,4th
158,60,4th
148,75,4th
186,100,2nd
198,75,2nd
186,80,1st
171,61,1st
153,102,4th
186,65,2nd
152,88,4th
136,49,6th
158,83,4th
139,45,6th
183,66,2nd
178,73,1st
150,99,4th
186,102,2nd
206,87,4th
156,58,4th
175,80,2nd
168,84,2nd
189,55,4th
204,96,4th
179,64,2nd
160,102,4th
170,99,3rd
181,101,3rd
188,91,2nd
205,78,4th
201,67,3rd
149,106,4th
193,74,2nd
171,96,3rd
154,90,4th
183,95,2nd
201,74,3rd
205,52,4th
163,48,3rd
201,109,2nd
138,79,6th
148,108,4th
149,58,4th
149,100,4th
157,45,4th
141,66,5th
172,75,2nd
177,98,3rd
197,61,4th
180,87,2nd
206,56,4th
191,61,3rd
192,69,2nd
177,74,1st
153,93,4th
182,62,2nd
178,76,1st
161,60,1st
146,80,4th
195,63,3rd
166,61,1st
188,63,3rd
146,63,4th
147,100,4th
176,92,2nd
157,110,4th
143,79,5th
182,50,4th
152,89,4th
137,90,6th
155,108,4th
178,109,3rd
171,63,1st
164,78,2nd
161,64,1st
174,102,3rd
195,95,1st
136,110,6th
140,79,6th
146,49,4th
156,104,4th
179,47,4th
157,89,4th
191,54,4th
152,91,4th
135,75,6th
186,91,2nd
150,62,4th
139,67,6th
194,64,3rd
162,76,2nd
168,95,3rd
193,51,4th
137,101,6th
183,45,4th
136,98,6th
170,46,4th
189,85,1st
162,51,2nd
154,110,4th
139,84,6th
171,89,3rd
180,85,2nd
184,60,3rd
136,50,6th
149,93,4th
191,101,2nd
191,104,2nd
153,81,4th
164,56,1st
140,58,6th
173,67,1st
166,69,2nd
139,106,6th
151,65,4th
198,65,3rd
201,78,2nd
179,91,2nd
188,62,3rd
192,100,2nd
149,99,4th
146,84,4th
142,108,5th
174,69,1st
184,88,2nd
172,46,4th
165,60,1st
166,61,1st
166,52,2nd
154,58,4th
140,98,6th
155,85,4th
198,46,4th
203,80,2nd
187,64,3rd
205,110,4th
206,48,4th
153,107,4th
198,84,1st
150,100,4th
185,102,2nd
156,90,4th
195,56,4th
151,80,4th
190,51,4th
198,74,2nd
156,110,4th
202,77,2nd
166,100,4th
202,52,4th
199,87,1st
178,87,2nd
136,66,6th
169,97,3rd
170,92,3rd
181,59,3rd
162,99,4th
147,74,4th
180,76,1st
181,72,1st
206,62,4th
189,72,1st
195,58,4th
144,47,5th
197,86,1st
147,78,4th
189,105,2nd
148,70,4th
197,103,2nd
154,84,4th
168,100,4th
206,65,4th
168,88,3rd
180,89,2nd
202,74,3rd
137,94,6th
171,108,4th
142,49,5th
193,98,2nd
179,63,2nd
202,75,3rd
192,85,1st
201,72,3rd
164,65,1st
148,99,4th
172,97,3rd
154,86,4th
144,103,5th
193,45,4th
174,109,4th
206,74,4th
139,106,6th
163,102,4th
180,61,2nd
200,82,1st
165,90,3rd
202,72,3rd
165,65,1st
200,91,1st
187,62,3rd
159,74,2nd
194,92,1st
165,50,3rd
167,80,2nd
137,92,6th
186,99,2nd
176,53,3rd
152,46,4th
206,69,4th
201,106,2nd
195,80,1st
160,80,3rd
173,101,3rd
185,80,1st
166,110,4th
172,65,1st
206,58,4th
195,74,2nd
163,86,3rd
164,57,1st
140,86,6th
140,97,6th
139,90,6th
165,75,2nd
149,106,4th
178,74,1st
157,94,4th
195,95,1st
174,49,3rd
139,82,6th
204,76,4th
144,54,5th
195,65,3rd
153,83,4th
178,106,3rd
152,85,4th
158,67,4th
174,103,3rd
194,64,3rd
187,72,1st
152,84,4th
167,71,2nd
174,53,3rd
190,51,4th
163,64,1st
158,109,4th
143,79,5th
199,71,3rd
201,84,1st
187,62,3rd
188,76,1st
157,104,4th
168,88,3rd
180,109,3rd
198,98,1st
188,68,2nd
186,51,4th
183,85,2nd
183,79,1st
197,73,2nd
181,63,2nd
173,59,2nd
180,88,2nd
146,50,4th
163,66,1st
157,98,4th
188,79,1st
192,51,4th
205,108,4th
164,93,3rd
166,65,1st
190,67,2nd
154,89,4th
146,55,4th
164,73,2nd
167,65,1st
143,81,5th
160,90,4th
159,101,4th
149,68,4th
146,84,4th
191,63,3rd
152,83,4th
152,89,4th
148,51,4th
162,77,2nd
142,87,5th
171,99,3rd
203,82,2nd
201,68,3rd
154,70,4th
183,95,2nd
169,79,2nd
168,97,3rd
161,106,4th
187,82,1st
190,59,3rd
190,109,3rd
156,104,4th
146,48,4th
198,56,4th
147,63,4th
191,109,2nd
156,64,4th
182,61,3rd
155,53,4th
162,101,4th
169,68,1st
202,104,2nd
191,57,4th
173,110,4th
205,59,4th
171,79,2nd
155,96,4th
186,59,3rd
